Indicator,Value,Unit,Year
CET1 Ratio,14.3,%,2023
Tier 1 Ratio,15.9,%,2023
Total Capital Ratio,17.1,%,2023
Liquidity Coverage Ratio,146.0,%,2023
Net Stable Funding Ratio,118.0,%,2023
Risk-Weighted Assets,257.0,BN,2023
